,Team,Average_goals_for_per_season,Average_goals_against_per_season,Champion_time,Participation,Matches Played,ATK,DEF,Maxstage
0,Germany,6.0,4.0,3,12,49,Mid,Mid,Final
1,France,6.888888888888889,4.888888888888889,2,9,39,High,Mid,Final
2,Spain,5.5,3.6,3,10,40,Mid,Mid,Final
3,Italy,4.333333333333333,3.0,1,9,38,Mid,High,Final
4,Portugal,7.0,4.428571428571429,1,7,35,High,Mid,Final
5,Netherlands,6.333333333333333,4.111111111111111,1,9,35,Mid,Mid,Final
6,Czech Republic,4.666666666666667,4.777777777777778,0,9,32,Mid,Mid,Final
7,Russia,3.4545454545454546,4.090909090909091,0,11,33,Mid,Mid,Final
8,England,4.444444444444445,3.888888888888889,0,9,31,Mid,Mid,Semi-finals
9,Croatia,4.6,4.0,0,5,18,Mid,Mid,Quarter-finals
10,Denmark,3.75,5.375,1,8,27,Mid,Mid,Final
11,Belgium,4.4,5.0,0,5,17,Mid,Mid,Final
12,Sweden,4.166666666666667,4.0,0,6,20,Mid,Mid,Semi-finals
13,Greece,3.5,5.0,1,4,16,Mid,Mid,Final
14,Turkey,3.25,5.5,0,4,15,Low,Mid,Semi-finals
15,Wales,10.0,6.0,0,1,6,High,Mid,Semi-finals
16,Poland,2.3333333333333335,3.0,0,3,11,Low,High,Quarter-finals
17,Switzerland,2.0,3.75,0,4,13,Low,Mid,Round of 16
18,Serbia,4.4,7.8,0,5,14,Mid,Low,Group
19,Iceland,8.0,9.0,0,1,5,High,Low,Quarter-finals
20,Hungary,3.6666666666666665,4.666666666666667,0,3,8,Mid,Mid,Semi-finals
21,Republic of Ireland,2.0,5.666666666666667,0,3,10,Low,Mid,Round of 16
22,Romania,2.0,4.2,0,5,16,Low,Mid,Quarter-finals
23,Scotland,2.0,2.5,0,2,6,Low,High,Group
24,Norway,1.0,1.0,0,1,3,Low,High,Group
25,Slovakia,3.0,6.0,0,1,4,Low,Mid,Round of 16
26,Bulgaria,2.0,6.5,0,2,6,Low,Mid,Group
27,Albania,1.0,3.0,0,1,3,Low,High,Group
28,Northern Ireland,2.0,3.0,0,1,4,Low,High,Round of 16
29,Ukraine,1.0,4.5,0,2,6,Low,Mid,Group
30,Slovenia,4.0,5.0,0,1,3,Mid,Mid,Group
31,Austria,1.0,3.5,0,2,6,Low,Mid,Group
32,Latvia,1.0,5.0,0,1,3,Low,Mid,Group
